Name,Description,Type
Anomaly Detector PREVIEW,Easily add anomaly detection capabilities to your apps.,Machine Learning
API Apps,Easily build and consume Cloud APIs,Compute
API Apps,Easily build and consume Cloud APIs,Containers
API Apps,Easily build and consume Cloud APIs,Web
API Management,"Publish APIs to developers, partners, and employees securely and at scale",Integration
API Management,"Publish APIs to developers, partners, and employees securely and at scale",IoT
API Management,"Publish APIs to developers, partners, and employees securely and at scale",Mobile
API Management,"Publish APIs to developers, partners, and employees securely and at scale",Web
App Configuration,"Fast, scalable parameter storage for app configuration",Developer Tools
App Service,Quickly create powerful cloud apps for web and mobile,Compute
App Service,Quickly create powerful cloud apps for web and mobile,Mobile
App Service,Quickly create powerful cloud apps for web and mobile,Web
Application Gateway,"Build secure, scalable, and highly available web front ends in Azure",Networking
Application Gateway,"Build secure, scalable, and highly available web front ends in Azure",Security
Archive Storage,Industry leading price point for storing rarely accessed data,Storage
Automation,Simplify cloud management with process automation,Management & Governance
Avere vFXT for Azure,"Run high-performance, file-based workloads in the cloud",Storage
Azure Active Directory,Synchronize on-premises directories and enable single sign-on,Hybrid
Azure Active Directory,Synchronize on-premises directories and enable single sign-on,Identity
Azure Active Directory,Synchronize on-premises directories and enable single sign-on,Security
Azure Active Directory Domain Services,Join Azure virtual machines to a domain without domain controllers,Identity
Azure Active Directory Domain Services,Join Azure virtual machines to a domain without domain controllers,Security
Azure Active Directory External Identities,Consumer identity and access management in the cloud,Identity
Azure Advisor,Your personalized Azure best practices recommendation engine,Management & Governance
Azure Analysis Services,Enterprise-grade analytics engine as a service,Analytics
Azure API for FHIR,Easily create and deploy a FHIR service for health data solutions and interoperability,Databases
Azure API for FHIR,Easily create and deploy a FHIR service for health data solutions and interoperability,Integration
Azure Arc PREVIEW,Bring Azure services and management to any infrastructure,Hybrid
Azure Artifacts,"Create, host, and share packages with your team",DevOps
Azure Backup,Simplify data protection and protect against ransomware,Management & Governance
Azure Backup,Simplify data protection and protect against ransomware,Storage
Azure Bastion,Private and fully managed RDP and SSH access to your virtual machines,Networking
Azure Blockchain Service PREVIEW,"Build, govern, and expand consortium blockchain networks",Blockchain
Azure Blockchain Tokens PREVIEW,"Easily define, create, and manage ledger-based tokens",Blockchain
Azure Blockchain Workbench PREVIEW,Easily prototype blockchain apps in the cloud,Blockchain
Azure Blueprints PREVIEW,"Enabling quick, repeatable creation of governed environments",Management & Governance
Azure Boards,"Plan, track, and discuss work across your teams",DevOps
Azure Bot Service,"Intelligent, serverless bot service that scales on demand",Machine Learning
Azure Cache for Redis,"Power applications with high-throughput, low-latency data access",Databases
Azure Cognitive Search,AI-powered cloud search service for mobile and web app development,Machine Learning
Azure Cognitive Search,AI-powered cloud search service for mobile and web app development,Mobile
Azure Cognitive Search,AI-powered cloud search service for mobile and web app development,Web
Azure Cognitive Services,Add smart API capabilities to enable contextual interactions,Machine Learning
Azure Cognitive Services,Add smart API capabilities to enable contextual interactions,Mobile
Azure Cosmos DB,Fast NoSQL database with open APIs for any scale,Blockchain
Azure Cosmos DB,Fast NoSQL database with open APIs for any scale,Databases
Azure Cosmos DB,Fast NoSQL database with open APIs for any scale,IoT
Azure CycleCloud,"Create, manage, operate, and optimize HPC and big compute clusters of any scale",Compute
Azure Data Explorer,Fast and highly scalable data exploration service,Analytics
Azure Data Lake Storage,"Massively scalable, secure data lake functionality built on Azure Blob Storage",Analytics
Azure Data Lake Storage,"Massively scalable, secure data lake functionality built on Azure Blob Storage",Storage
Azure Data Share,A simple and safe service for sharing big data with external organizations,Analytics
Azure Data Share,A simple and safe service for sharing big data with external organizations,Storage
Azure Database for MariaDB,Managed MariaDB database service for app developers,Databases
Azure Database for MySQL,Managed MySQL database service for app developers,Databases
Azure Database for PostgreSQL,Managed PostgreSQL database service for app developers,Databases
Azure Database for PostgreSQL,Managed PostgreSQL database service for app developers,Hybrid
Azure Database Migration Service,Simplify on-premises database migration to the cloud,Databases
Azure Database Migration Service,Simplify on-premises database migration to the cloud,Migration
Azure Databricks,"Fast, easy, and collaborative Apache Spark-based analytics platform",Analytics
Azure Databricks,"Fast, easy, and collaborative Apache Spark-based analytics platform",Machine Learning
Azure DDoS Protection,Protect your applications from Distributed Denial of Service (DDoS) attacks,Networking
Azure DDoS Protection,Protect your applications from Distributed Denial of Service (DDoS) attacks,Security
Azure Dedicated Host,A dedicated physical server to host your Azure VMs for Windows and Linux,Compute
Azure Dedicated HSM,Manage hardware security modules that you use in the cloud,Security
Azure DevOps,"Services for teams to share code, track work, and ship software",Developer Tools
Azure DevOps,"Services for teams to share code, track work, and ship software",DevOps
Azure DevOps,"Services for teams to share code, track work, and ship software",Hybrid
Azure DevTest Labs,Quickly create environments using reusable templates and artifacts,Developer Tools
Azure DevTest Labs,Quickly create environments using reusable templates and artifacts,DevOps
Azure Digital Twins PREVIEW,Build next-generation IoT spatial intelligence solutions,IoT
Azure Digital Twins PREVIEW,Build next-generation IoT spatial intelligence solutions,Mixed Reality
Azure DNS,Host your DNS domain in Azure,Networking
Azure ExpressRoute,Dedicated private network fiber connections to Azure,Hybrid
Azure ExpressRoute,Dedicated private network fiber connections to Azure,Networking
Azure Firewall,"Native firewalling capabilities with built-in high availability, unrestricted cloud scalability, and zero maintenance",Networking
Azure Firewall Manager,"Central network security policy and route management for globally distributed, software-defined perimeters",Networking
Azure Front Door,"Scalable, security-enhanced delivery point for global, microservice-based web applications",Networking
Azure Front Door,"Scalable, security-enhanced delivery point for global, microservice-based web applications",Security
Azure Functions,Process events with serverless code,Compute
Azure Functions,Process events with serverless code,Containers
Azure Functions,Process events with serverless code,IoT
Azure FXT Edge Filer,Hybrid storage optimization solution for HPC environments,Storage
Azure HPC Cache,File caching for high-performance computing (HPC),Storage
Azure Information Protection,"Better protect your sensitive information—anytime, anywhere",Identity
Azure Information Protection,"Better protect your sensitive information—anytime, anywhere",Security
Azure Internet Analyzer PREVIEW,Test how networking infrastructure changes will impact your customers' performance.,Networking
Azure IoT Central,Accelerate the creation of IoT solutions,IoT
Azure IoT Edge,Extend cloud intelligence and analytics to edge devices,Hybrid
Azure IoT Edge,Extend cloud intelligence and analytics to edge devices,IoT
Azure IoT Hub,"Connect, monitor and manage billions of IoT assets",IoT
Azure IoT solution accelerators,Create fully customizable solutions with templates for common IoT scenarios,IoT
Azure Kubernetes Service (AKS),"Simplify the deployment, management, and operations of Kubernetes",Compute
Azure Kubernetes Service (AKS),"Simplify the deployment, management, and operations of Kubernetes",Containers
Azure Lab Services,"Set up labs for classrooms, trials, development and testing, and other scenarios",Developer Tools
Azure Lighthouse,Empowering service providers to manage customers at scale and with precision,Management & Governance
Azure Machine Learning,"Bring AI to everyone with an end-to-end, scalable, trusted platform with experimentation and model management",IoT
Azure Machine Learning,"Bring AI to everyone with an end-to-end, scalable, trusted platform with experimentation and model management",Machine Learning
Azure Managed Applications,Simplify management of cloud offerings,Management & Governance
Azure Maps,Simple and secure location APIs provide geospatial context to data,IoT
Azure Maps,Simple and secure location APIs provide geospatial context to data,Mobile
Azure Maps,Simple and secure location APIs provide geospatial context to data,Web
Azure Media Player,A single player for all your playback needs,Media
Azure Migrate,"Easily discover, assess, right-size, and migrate your on-premises VMs to Azure",Management & Governance
Azure Migrate,"Easily discover, assess, right-size, and migrate your on-premises VMs to Azure",Migration
Azure mobile app,"Stay connected to your Azure resources—anytime, anywhere",Management & Governance
Azure Monitor,"Full observability into your applications, infrastructure, and network",DevOps
Azure Monitor,"Full observability into your applications, infrastructure, and network",Management & Governance
Azure NetApp Files,"Enterprise-grade Azure file shares, powered by NetApp",Storage
Azure Open Datasets,Cloud platform to host and share curated open datasets to accelerate development of machine learning models,Machine Learning
Azure Pipelines,"Continuously build, test, and deploy to any platform and cloud",Developer Tools
Azure Pipelines,"Continuously build, test, and deploy to any platform and cloud",DevOps
Azure Policy,Implement corporate governance and standards at scale for Azure resources,Management & Governance
Azure Private Link,"Private access to services hosted on the Azure platform, keeping your data on the Microsoft network",Networking
Azure Red Hat OpenShift,"Fully managed OpenShift service, jointly operated with Red Hat",Containers
Azure Repos,"Get unlimited, cloud-hosted private Git repos for your project",DevOps
Azure Resource Manager,Simplify how you manage your app resources,Management & Governance
