Name,Description,Type,FedRAMP Moderate,FedRAMP High,Planned 2020,DISA IL 2,DISA IL 4,DISA IL 5 **,DISA IL 6
Anomaly Detector PREVIEW,Easily add anomaly detection capabilities to your apps.,Machine Learning,,,,,,,
API Apps,Easily build and consume Cloud APIs,Compute,,,,,,,
API Apps,Easily build and consume Cloud APIs,Containers,,,,,,,
API Apps,Easily build and consume Cloud APIs,Web,,,,,,,
API Management,"Publish APIs to developers, partners, and employees securely and at scale",Integration,✔️,✔️,,✔️,✔️,✔️,
API Management,"Publish APIs to developers, partners, and employees securely and at scale",IoT,✔️,✔️,,✔️,✔️,✔️,
API Management,"Publish APIs to developers, partners, and employees securely and at scale",Mobile,✔️,✔️,,✔️,✔️,✔️,
API Management,"Publish APIs to developers, partners, and employees securely and at scale",Web,✔️,✔️,,✔️,✔️,✔️,
App Configuration,"Fast, scalable parameter storage for app configuration",Developer Tools,,,✔️,,,,
App Service,Quickly create powerful cloud apps for web and mobile,Compute,,,,,,,
App Service,Quickly create powerful cloud apps for web and mobile,Mobile,,,,,,,
App Service,Quickly create powerful cloud apps for web and mobile,Web,,,,,,,
Application Gateway,"Build secure, scalable, and highly available web front ends in Azure",Networking,✔️,✔️,,✔️,✔️,✔️,✔️
Application Gateway,"Build secure, scalable, and highly available web front ends in Azure",Security,✔️,✔️,,✔️,✔️,✔️,✔️
Automation,Simplify cloud management with process automation,Management & Governance,✔️,✔️,,✔️,✔️,,
Avere vFXT for Azure,"Run high-performance, file-based workloads in the cloud",Storage,,,,,,,
Azure Active Directory,Synchronize on-premises directories and enable single sign-on,Hybrid,,,,,,,
Azure Active Directory,Synchronize on-premises directories and enable single sign-on,Identity,,,,,,,
Azure Active Directory,Synchronize on-premises directories and enable single sign-on,Security,,,,,,,
Azure Active Directory (Free and Basic),Synchronize on-premises directories and enable single sign-on,Identity,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Active Directory (Premium P1 + P2),Synchronize on-premises directories and enable single sign-on,Identity,✔️,✔️,,✔️,✔️,✔️,
Azure Active Directory B2C,Identity and access management for your customer-facing apps,Identity,✔️,✔️,,,,,
Azure Active Directory Domain Services,Join Azure virtual machines to a domain without domain controllers,Identity,✔️,✔️,,✔️,✔️,,✔️
Azure Active Directory Domain Services,Join Azure virtual machines to a domain without domain controllers,Security,✔️,✔️,,✔️,✔️,,✔️
Azure Active Directory External Identities,Consumer identity and access management in the cloud,Identity,,,,,,,
Azure Active Directory Provisioning Service,Automatically create user identities and roles in the cloud (SaaS) applications that users need access to,Identity,✔️,✔️,,,,,
Azure Advanced Threat Protection,Detect and investigate advanced attacks on-premises and in the cloud,Security,✔️,✔️,,✔️,✔️,,
Azure Advisor,Your personalized Azure best practices recommendation engine,Management & Governance,✔️,✔️,,✔️,✔️,,
Azure Analysis Services,Enterprise-grade analytics engine as a service,Analytics,✔️,✔️,,✔️,✔️,✔️,
Azure API for FHIR,Easily create and deploy a FHIR service for health data solutions and interoperability,Databases,✔️,✔️,,,,,
Azure API for FHIR,Easily create and deploy a FHIR service for health data solutions and interoperability,Integration,,,,,,,
Azure Arc PREVIEW,Bring Azure services and management to any infrastructure,Hybrid,,,,,,,
Azure Archive Storage,Industry leading price point for storing rarely accessed data,Storage,✔️,✔️,,✔️,✔️,,
Azure Artifacts,"Create, host, and share packages with your team",DevOps,,,,,,,
Azure Backup,Simplify data protection and protect against ransomware,Management & Governance,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Backup,Simplify data protection and protect against ransomware,Storage,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Backup,Built-in backup solution for all your resources,Storage,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Bastion,Private and fully managed RDP and SSH access to your virtual machines,Networking,✔️,✔️,,✔️,,✔️,
Azure Blob Storage,"Massively scalable and secure object storage for cloud-native workloads, archives, data lakes, high-performance computing, and machine learning",Storage,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Blockchain Service PREVIEW,"Build, govern, and expand consortium blockchain networks",Blockchain,,,,,,,
Azure Blockchain Tokens PREVIEW,"Easily define, create, and manage ledger-based tokens",Blockchain,,,,,,,
Azure Blockchain Workbench PREVIEW,Easily prototype blockchain apps in the cloud,Blockchain,,,,,,,
Azure Blueprints PREVIEW,"Enabling quick, repeatable creation of governed environments",Management & Governance,,,,✔️,✔️,,
Azure Boards,"Plan, track, and discuss work across your teams",DevOps,,,,,,,
Azure Bot Service,"Intelligent, serverless bot service that scales on demand",Machine Learning,✔️,✔️,,✔️,✔️,,
Azure Cache for Redis,"Power applications with high-throughput, low-latency data access",Databases,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Cloud Shell,"Your Microsoft-managed admin machine in Azure, for Azure",Management & Governance,✔️,✔️,,✔️,✔️,,
Azure Cognitive Search,AI-powered cloud search service for mobile and web app development,Machine Learning,✔️,✔️,,✔️,✔️,,
Azure Cognitive Search,AI-powered cloud search service for mobile and web app development,Mobile,✔️,✔️,,✔️,✔️,,
Azure Cognitive Search,AI-powered cloud search service for mobile and web app development,Web,✔️,✔️,,✔️,✔️,,
Azure Cognitive Services,Add smart API capabilities to enable contextual interactions,Machine Learning,,,,,,,
Azure Cognitive Services,Add smart API capabilities to enable contextual interactions,Mobile,,,,,,,
Azure Cognitive Services Containers,"Azure Cognitive Services provides several Docker containers that let you use the same APIs that are available in Azure, on-premises.",Machine Learning,,,✔️,,,,
Azure Cognitive Services Personalizer,"An award-winning AI service that delivers a personalized, relevant experience for every user",Machine Learning,✔️,✔️,,✔️,,,
Azure Cognitive Services: Computer Vision,An AI service that analyzes content in images and video.,Machine Learning,✔️,✔️,,✔️,✔️,,
Azure Cognitive Services: Content Moderator,"Machine-assisted content moderation APIs and human review tool for images, text, and videos",Machine Learning,✔️,✔️,,✔️,✔️,,
Azure Cognitive Services: Custom Vision,An AI service and end-to-end platform for applying computer vision to your specific scenario,Machine Learning,✔️,✔️,,✔️,,,
Azure Cognitive Services: Face,An AI service that analyzes faces in images,Machine Learning,✔️,✔️,,✔️,✔️,,
Azure Cognitive Services: Language Understanding,"An AI service that allows users to interact with your applications, bots, and IoT devices by using natural language.",Machine Learning,✔️,✔️,,✔️,✔️,,
Azure Cognitive Services: QnA Maker,Go from semi-structured content to bot in minutes,Machine Learning,✔️,✔️,,✔️,,,
Azure Cognitive Services: Speech Services,A comprehensive family of AI services and cognitive APIs to help you build intelligent apps,Machine Learning,✔️,✔️,,✔️,✔️,,
Azure Cognitive Services: Text Analytics,"An AI service that uncovers insights such as sentiment, entities, and key phrases in unstructured text",Machine Learning,✔️,✔️,,✔️,✔️,,
Azure Cognitive Services: Translator Text,A Speech service feature that translates speech in real time,Machine Learning,✔️,✔️,,✔️,✔️,,
Azure Cognitive Services: Video Indexer,Automatically extract advanced metadata from video and audio content,Machine Learning,✔️,✔️,,,,,
Azure Cosmos DB,Fast NoSQL database with open APIs for any scale,Blockchain,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Cosmos DB,Fast NoSQL database with open APIs for any scale,Databases,,,,,,,
Azure Cosmos DB,Fast NoSQL database with open APIs for any scale,IoT,,,,,,,
Azure Cost Management + Billing,"Optimize what you spend on the cloud, while maximizing cloud potential",Management & Governance,✔️,✔️,,✔️,✔️,,
Azure Cost Management + Billing,"Optimize what you spend on the cloud, while maximizing cloud potential",Migration,✔️,✔️,,✔️,✔️,,
Azure CycleCloud,"Create, manage, operate, and optimize HPC and big compute clusters of any scale",Compute,,,,,,,
Azure Data Box,Data Box devices easily move data to Azure when busy networks aren’t an option.,Migration,✔️,✔️*,,,,,
Azure Data Explorer,Fast and highly scalable data exploration service,Analytics,✔️,✔️,,✔️,✔️,,✔️
Azure Data Factory,Hybrid data integration service that simplifies ETL at scale,Analytics,,,,✔️,✔️,,
Azure Data Lake Storage,"Massively scalable, secure data lake functionality built on Azure Blob Storage",Analytics,,,✔️,,,,
Azure Data Lake Storage,"Massively scalable, secure data lake functionality built on Azure Blob Storage",Storage,,,✔️,,,,
Azure Data Share,A simple and safe service for sharing big data with external organizations,Analytics,✔️,✔️,,✔️,,,
Azure Data Share,A simple and safe service for sharing big data with external organizations,Storage,✔️,✔️,,✔️,,,
